fide_id,period,rating_type,tournament_name,event_location_fed,event_start_date,event_end_date,event_rc,event_ro,event_score,event_games,event_chg,event_k,event_k_chg,opponent_name,opponent_title,opponent_rating,rating_difference_over_400_flag,opponent_fed,score,n,chg,k,k_chg
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Patodekar, Samarth",,1545.0,False,IND,0.0,1,-0.32,40,-12.8
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Shlok, Paronigar",,1525.0,False,IND,1.0,1,0.66,40,26.4
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Daksh, N Thakkar",,1549.0,False,IND,0.5,1,0.19,40,7.6
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Marathe, Shubham",,1527.0,False,IND,0.0,1,-0.34,40,-13.6
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Milind, Gode",,1521.0,False,IND,1.0,1,0.65,40,26.0
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Khanak, Paharia",,1538.0,False,IND,1.0,1,0.68,40,27.2
48769258,2025-01-01,0,1st Aquinas International School Below 1800 All India FIDE Rating Chess Tournament 2024,Mumbai IND,2024-12-26,2024-12-28,1538,1408,3.5,7,1.22,40,48.8,"Lokhande, Vaibhav",,1561.0,False,IND,0.0,1,-0.3,40,-12.0
